btc_return,current_token_price,eth_return,month,name,token/btc_return,token/eth_return,token_return,token_sale_price,usd_raised
0.68x,0.018,0.54x,Jan 2018,GATCOIN,0.92x,1.15x,0.62x,0.029,14714581.22
3.74x,2.469,2.90x,Jul 2017,Nimiq,0.48x,0.62x,1.78x,1.384,14528400.0
0.68x,0.011,0.51x,Jan 2018,GAT Coin,0.54x,0.72x,0.37x,0.029,14500000.0
0.63x,0.11,0.56x,Jan 2018,Block Array,0.76x,0.86x,0.48x,0.229,14441930.0
0.53x,0.123,1.62x,Dec 2017,Leverj,2.58x,0.84x,1.36x,0.091,14123537.92
4.33x,0.597,3.03x,May 2017,Mysterium Network,0.15x,0.21x,0.64x,0.926,14075000.0
0.66x,0.014,0.50x,Jan 2018,adbank,0.78x,1.01x,0.51x,0.027,13964200.0
2.63x,0.419,2.79x,Sep 2017,Substratum,3.15x,2.97x,8.27x,0.051,13800000.0
2.59x,2.109,2.66x,Sep 2017,Modum,1.05x,1.02x,2.71x,0.777,13500000.0
1.57x,0.121,2.38x,Oct 2017,Cobinhood,1.41x,0.93x,2.21x,0.055,13370560.21
1.33x,1.142,2.44x,Nov 2017,Dragonchain,15.53x,8.46x,20.66x,0.055,13179332.38
2.04x,0.101,2.27x,Oct 2017,Red Pulse,1.53x,1.38x,3.14x,0.032,13015417.08
6.48x,1.353,9.09x,May 2017,Tokencard,0.39x,0.28x,2.52x,0.537,12700000.0
7.54x,114.082,14.03x,Apr 2017,Gnosis,0.51x,0.27x,3.82x,29.85,12500000.0
3.46x,0.248,1.96x,Jun 2017,Boscoin,1.62x,2.87x,5.61x,0.044,12202995.54
2.25x,0.047,2.36x,Aug 2017,Lampix,0.10x,0.09x,0.22x,0.213,12172472.4
7.78x,1.322,14.53x,Apr 2017,iEx.ec,0.84x,0.45x,6.52x,0.203,12158963.0
3.62x,1.571,2.61x,Jul 2017,Santiment,1.61x,2.24x,5.84x,0.269,12094650.0
2.15x,0.21,2.24x,Sep 2017,Viberate,0.97x,0.93x,2.10x,0.1,12000000.0
3.80x,1.042,2.38x,Jun 2017,Adex,1.09x,1.74x,4.14x,0.252,11799174.78
0.92x,0.945,1.57x,Nov 2017,Wabi,4.11x,2.41x,3.78x,0.25,11500000.0
0.92x,1.573,1.57x,Nov 2017,WaBi,6.84x,4.01x,6.29x,0.25,11500000.0
3.72x,0.039,3.44x,Jul 2017,DAO Casino,0.15x,0.17x,0.57x,0.069,11496820.15
2.17x,0.407,2.33x,Sep 2017,Real,0.33x,0.31x,0.72x,0.566,11160652.12
4.28x,168.578,4.38x,May 2017,Veritaseum,6.98x,6.82x,29.87x,5.644,11000000.0
3.61x,15.626,2.17x,Jun 2017,Populous,14.37x,23.92x,51.88x,0.301,10842331.5
